Date,Open,High,Low,Close,Volume
2016-05-03,156.156,156.156,152.423,152.622,15606994.904541
2016-05-04,153.02,153.02,150.761,151.826,16662482.748735
2016-05-05,150.363,152.025,149.865,150.562,13893086.929844
2016-05-06,150.661,152.821,149.577,151.239,16163107.121464
2016-05-09,152.821,153.12,151.527,152.423,9589927.4096232
2016-05-10,151.627,154.006,151.627,153.707,12055466.84639
2016-05-11,155.658,155.658,153.319,153.807,11788690.037458
2016-05-12,153.906,153.906,151.338,151.527,13509642.990402
2016-05-13,152.921,153.608,151.04,152.423,18409768.970345
2016-05-16,153.409,157.539,153.12,157.141,21954589.630495
2016-05-17,159.49,161.471,158.126,160.087,23028379.146646
2016-05-18,158.226,159.589,157.24,158.325,21020968.255434
2016-05-19,152.622,156.355,152.622,154.493,35894320.907193
2016-05-20,152.622,156.454,152.622,155.757,19522316.918595
2016-05-23,156.852,158.813,156.056,156.355,12430113.60535
2016-05-24,157.24,158.226,156.852,157.738,12544468.913991
2016-05-25,160.187,161.958,159.988,161.66,21958794.313034
2016-05-26,162.058,162.058,159.689,160.973,14711558.2761
2016-05-27,162.157,168.826,161.66,168.239,41999398.385649
2016-05-30,168.239,169.523,166.477,166.975,22134755.002626
2016-05-31,169.025,170.707,168.04,170.309,57221645.246103
2016-06-01,169.025,169.911,166.875,167.472,17654480.388933
2016-06-02,167.074,167.572,165.492,167.273,21838817.690461
2016-06-03,167.373,169.324,166.577,167.861,27925424.706836
2016-06-06,167.174,171.006,167.174,170.807,17420569.428325
2016-06-07,171.991,173.743,171.493,173.544,17557608.923914
2016-06-08,173.544,173.544,171.593,172.857,19203144.842174
2016-06-10,175.425,175.425,171.792,172.091,20754854.550559
2016-06-13,167.174,168.826,166.278,166.577,21540887.047314
2016-06-14,165.89,166.477,164.705,165.392,18043036.257828
2016-06-15,164.805,171.105,164.407,170.01,19171291.73459
2016-06-16,169.811,170.01,165.492,165.89,15358841.272563
2016-06-17,167.572,168.338,164.606,165.989,18194266.180224
2016-06-20,167.074,168.239,166.089,167.771,9593763.3661193
2016-06-21,169.025,170.309,168.04,169.911,10261318.25735
2016-06-22,170.11,174.838,169.911,174.041,19978889.179023
2016-06-23,172.957,173.355,170.309,173.056,12451534.880482
2016-06-24,171.792,174.539,165.193,170.807,31131562.960758
2016-06-27,167.174,169.125,167.174,167.95,15936237.120292
2016-06-28,164.118,167.861,164.118,167.572,18266972.525902
2016-06-29,167.472,169.722,167.472,169.423,13790833.270234
2016-06-30,171.892,173.544,170.707,173.056,17213958.260779
2016-07-04,175.037,176.41,173.942,175.823,16512860.351324
2016-07-05,175.913,175.913,173.056,173.355,9729901.6430133
2016-07-06,171.105,172.469,170.01,171.304,11864718.93634
2016-07-07,171.991,174.34,171.593,173.255,8156604.8834824
2016-07-08,174.141,175.325,173.355,173.942,14067525.494216
2016-07-11,176.798,177.674,176.112,176.898,13074080.076828
2016-07-12,178.57,178.57,175.425,177.774,14082464.424845
2016-07-13,177.674,178.57,177.276,178.073,11406088.039227
2016-07-14,177.475,180.82,176.798,180.342,12893813.229682
2016-07-15,181.118,182.979,179.944,181.616,15760975.704068
2016-07-18,180.82,182.591,180.541,181.805,10208977.24383
2016-07-19,181.317,181.805,179.944,180.143,11989635.684134
2016-07-20,181.218,182.79,180.342,182.392,13562917.373118
2016-07-21,182.979,183.278,181.118,181.417,15055142.628829
2016-07-22,181.805,182.392,180.441,182.004,7934193.7547377
2016-07-25,183.676,184.761,182.004,184.761,7916511.9846028
2016-07-26,182.979,186.423,182.979,183.079,14974943.207313
