Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2016-06-17,85.8461,86.055,84.854,85.6981,6653628.0273919,85.58864,84.538095,85.39272973169554,0.1431999999999931,0.7342999999999904,57.39389659760991,0.14801596893993008,-0.050924928403726234,82.20551470524617,86.87067529475382,18504992.92459509
2016-06-20,86.2363,86.7558,85.648,85.6657,4304562.2108922,85.64022,84.704705,85.44236068956907,0.4294000000000011,0.5645999999999987,57.05045618605722,0.16527846135723223,-0.0076842504515345425,82.5672939970143,86.8421160029857,14200430.713702891
2016-06-21,86.0226,86.5236,85.9745,86.2363,3873618.305843,85.7765,84.88685000000001,85.5867132914656,0.19020000000000437,1.3067999999999955,61.427988974078055,0.22243763961742502,0.038340127562257374,82.89079410214332,86.8829058978567,18074049.01954589
2016-06-22,86.2363,86.5902,85.8726,85.9569,4096354.5154711,85.92061999999999,85.02709,85.65401996574457,0.2588000000000079,0.44700000000000273,58.29484520533542,0.24239725062335538,0.07915155217447697,83.15387490638493,86.90030509361507,13977694.50407479
2016-06-23,86.5667,86.6,86.0991,86.548,3694979.7018938,86.021,85.196885,85.81656179015465,0.8823000000000008,0.6518999999999977,62.636728649463414,0.3024260370169145,0.12380644914296449,83.42646054149772,86.96730945850227,17672674.20596859
2016-06-24,84.9295,85.7266,84.3678,84.5021,10430009.434738,85.7818,85.231495,85.57756873739926,-1.7342000000000013,-1.109800000000007,45.125443124067814,0.1828049888977148,0.13560615709391455,83.55042673753933,86.91256326246067,7242664.771230588
2016-06-27,84.3432,84.8001,83.9452,84.6295,7707349.7556137,85.57456,85.26997499999999,85.40519260332665,-1.3274000000000115,-0.7783000000000015,46.13530705136019,0.0971645097285716,0.12791782762084597,83.68883844559234,86.85111155440764,14950014.526844287
2016-06-28,84.6549,84.8001,84.1051,84.6374,6269160.4751345,85.25478,85.34094999999999,85.26559394817636,-1.9106000000000023,-0.917500000000004,46.201422807598334,0.029590179784307225,0.10825229805353823,84.04615425264512,86.63574574735486,21219175.00197879
2016-06-29,85.203,85.6305,84.9031,85.4609,5910948.9051624,85.15558,85.405555,85.301104139417,0.9587999999999965,0.22459999999999525,52.7166585803795,0.042002426354656563,0.09500232371376191,84.2339315299022,86.57717847009782,27130123.907141186
2016-06-30,85.9658,87.8469,85.7941,87.7941,9620994.6854693,85.4048,85.56932,85.75437611406846,3.164600000000007,1.7480000000000047,65.47439642579788,0.23737267735587864,0.12347639444218525,84.05428894789517,87.08435105210484,36751118.592610486
2016-07-01,88.0391,88.1754,87.3138,87.5215,4966430.2342644,86.00868,85.69720500000001,86.07567136605601,2.8841000000000037,1.8234000000000066,63.32460383082367,0.36598956714480835,0.1719790289827099,83.97918738539154,87.41522261460848,31784688.358346086
2016-07-05,87.5578,88.6459,87.5215,88.1833,6175370.3118407,86.71944,85.851315,86.45887657222765,2.7224000000000075,2.5176000000000016,66.22406953170572,0.5153801267555593,0.2406592485372798,83.83191666201084,87.87071333798916,37960058.67018679
2016-07-06,88.3254,88.4333,87.5215,87.7764,7346100.4888567,87.34724,85.99366,86.69842628636808,-0.017700000000004934,1.5400999999999954,62.929900952533295,0.5940914754334443,0.3113456939165127,83.85030683716585,88.13701316283417,30613958.18133009
2016-07-07,89.9431,90.3146,88.7136,89.0921,11683385.773242,88.07348,86.17277,87.13363968884661,1.5705999999999989,3.1351999999999975,68.40296096569463,0.7539457631391002,0.3998657077610302,83.63687933068155,88.70866066931845,42297343.95457209
2016-07-08,89.5293,89.9136,88.9392,89.7186,7302880.1226792,88.45838,86.363895,87.60363247269268,1.5352999999999923,3.170599999999993,70.62681552430622,0.9205729599097481,0.5040071581907738,83.37930965986885,89.34848034013115,49600224.077251285
2016-07-11,89.6176,90.4146,89.2969,90.2695,7759767.8759585,89.00798,86.59677499999998,88.08833565947583,2.4930999999999983,5.767399999999995,72.46219430223186,1.0845769122524445,0.620121109003108,83.16578916967453,90.02776083032543,57359991.95320979
2016-07-12,89.844,90.3979,89.798,90.1547,5044155.6941778,89.40226,86.83411999999997,88.46403826684386,1.0626000000000033,5.525200000000012,71.46013754781025,1.1915523516975526,0.7344073575419969,83.10559782423688,90.56264217576306,52315836.25903199
2016-07-13,90.3715,91.2018,90.2538,91.0743,6279177.3261851,90.06184,87.11009,88.93863130923589,1.3556999999999988,6.436899999999994,74.50193204998429,1.3351444783089903,0.8545547816953956,82.98434407119491,91.23583592880509,58595013.58521709
2016-07-14,91.0097,91.9312,90.9646,91.1184,5832442.0900651,90.4671,87.40419499999999,89.3349528893748,0.8489000000000004,5.657499999999999,74.64151283803714,1.4359480592346756,0.9708334372032517,83.01092364845398,91.79746635154599,64427455.67528219
2016-07-15,90.9713,91.537,90.3047,90.8724,6297014.8693949,90.69786,87.64551,89.61448872767029,0.7176999999999936,3.0782999999999987,72.26506667246723,1.4789372117065227,1.072454192103906,83.04120256918344,92.24981743081656,58130440.80588729
2016-07-18,90.8724,90.9106,90.2037,90.489,4435748.2780928,90.74176000000001,87.88505500000001,89.77349077718478,-0.5852999999999895,2.967500000000001,68.59926716575578,1.4651795709171722,1.1509992678665593,83.20939087290884,92.56071912709118,53694692.52779449
2016-07-19,90.2224,90.7891,90.0969,90.7606,4811956.5184402,90.86294,88.13980000000001,89.952965181333,-0.35779999999999745,2.577299999999994,69.76917757064749,1.4593696862996808,1.2126733515531836,83.41831409383614,92.86128590616387,58506649.04623469
2016-07-20,91.0381,91.0743,90.0685,90.2783,3646492.8385702,90.70374,88.34190000000001,90.01211696654518,-0.5940999999999974,2.5019000000000062,65.1287525546951,1.39971271474694,1.2500812241919348,83.61745026161512,93.0663497383849,54860156.20766449
2016-07-21,90.0969,90.2322,89.5832,89.9792,3387286.9267414,90.47590000000001,88.543015,90.00613206353697,-0.5097999999999985,0.8871000000000038,62.35877918063741,1.3131619511116384,1.2626973695758756,83.90437632162408,93.18165367837591,51472869.28092309
2016-07-22,90.1469,90.6606,90.1469,90.4705,3250704.8165615,90.39552,88.73914,90.09056259743934,-0.29009999999999536,0.7519000000000062,64.99255205614008,1.2695787379943937,1.2640736432595792,84.12402946342121,93.3542505365788,54723574.09748459
2016-07-25,90.5175,90.5499,89.8067,90.3341,3684337.562687,90.36454,89.03074,90.13484212517764,0.05580000000000496,0.06460000000001287,63.66075306523969,1.2100833005037117,1.2532755747084057,84.82392364535808,93.23755635464191,51039236.53479759
