Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2016-06-22,869.411,876.708,860.251,870.341,65834430,854.1692,868.2474500000002,860.9461657595782,28.866999999999962,-7.298999999999978,55.35600966102174,0.1563197822888469,1.584985156208783,829.2917025260698,907.2031974739306,17619018.0
2016-06-23,872.053,892.534,869.411,890.52,74483209,868.3252000000001,869.6601,866.3232265305639,26.227999999999952,8.691000000000031,61.04166343994249,2.4711782664013526,1.7622237782472971,829.584506057394,909.7356939426061,92102227.0
2016-06-24,886.171,891.446,793.193,813.378,190865166,862.7060000000001,866.8975,856.696821706825,-61.62099999999998,-56.346000000000004,40.045274244733854,-1.8971255225862933,1.030353918080579,819.5627962716293,914.2322037283708,-98762939.0
2016-06-27,808.407,810.278,791.643,799.563,76913888,849.7602,863.4981000000001,846.3088541237657,-70.77800000000002,-73.88900000000001,37.55401293009031,-6.400017374099889,-0.45572034035551456,807.4058512404322,919.5903487595681,-175676827.0
2016-06-28,783.886,790.716,763.237,772.238,137384477,829.2080000000001,858.0185500000001,832.8414261012629,-118.28199999999993,-70.32099999999991,33.1598644906646,-12.034761504213293,-2.7715285731270702,789.4435946899241,926.5935053100761,-313061304.0
2016-06-29,798.32,802.202,786.214,794.591,91223502,814.0580000000002,852.8651500000001,825.8868031737604,-18.787000000000035,-42.52800000000002,39.40595989198907,-14.529153497843936,-5.123053558070444,781.4029339303215,924.3273660696786,-221837802.0
2016-06-30,810.58,810.736,784.198,784.198,91495374,792.7936000000001,847.4090500000002,818.3070207785312,-15.365000000000009,-35.54200000000003,37.644539294351674,-17.146946045584855,-7.5278320555733265,772.3782049702116,922.4398950297888,-313333176.0
2016-07-01,791.643,798.005,789.318,792.731,81639952,788.6642,843.0472,813.6568351824346,20.492999999999938,-48.74300000000005,40.015297017802474,-18.32182116366573,-9.686629877191809,765.8736828336073,920.2207171663927,-231693224.0
2016-07-04,789.628,799.563,786.515,795.833,63709121,787.9182000000001,838.7939,810.4161378765374,1.2419999999999618,-68.45900000000006,40.895051037078,-18.786058693060568,-11.50651564036556,761.0298418405167,916.5579581594833,-167984103.0
2016-07-05,797.85,802.977,791.176,799.875,60321123,793.4456000000001,834.8048000000001,808.4995673535304,15.677000000000021,-75.12400000000002,42.086941776177945,-18.613252669731082,-12.927863046238665,757.6841686130898,911.9254313869104,-107662980.0
2016-07-06,784.04,786.214,770.694,786.057,116273083,791.7388000000001,830.2256500000001,804.4191005619793,-6.673999999999978,-84.28399999999999,39.1782905785465,-19.36803709396304,-14.21589785578354,752.9385130126939,907.5127869873063,-223936063.0
2016-07-07,783.886,794.591,779.54,787.457,69455641,792.3906000000001,825.5070499999999,801.335082277983,-8.375999999999976,-103.06299999999999,39.63349642164145,-19.62699312897155,-15.298116910421143,749.9820380329639,901.0320619670359,-154480422.0
2016-07-08,790.863,800.491,784.657,784.657,67406346,790.7758000000001,821.2536999999999,798.302703681986,-15.217999999999961,-28.721000000000004,39.00474165451315,-19.8295712973802,-16.204407787812954,746.637632168947,895.8697678310527,-221886768.0
2016-07-11,801.107,830.454,800.491,822.842,89852589,796.1776000000001,818.7232,802.7643939216249,36.78499999999997,23.278999999999996,50.53063693679397,-16.716211500009422,-16.30676853025225,748.2426090663412,889.2037909336589,-132034179.0
2016-07-12,840.385,857.611,839.762,844.888,92368297,805.1802000000001,818.8396500000001,810.4232313904203,57.43100000000004,72.64999999999998,55.73171083148277,-12.327816086114922,-15.510978041424783,748.1857563723505,889.4935436276497,-39665882.0
2016-07-13,863.98,875.929,856.063,873.609,125363154,822.6906000000001,820.6641500000001,821.9115529557985,88.952,79.01800000000003,61.4221885687177,-6.457992715273122,-13.70038097619445,746.238855331914,895.0894446680861,85697272.0
2016-07-14,865.838,878.57,864.753,876.708,74506397,840.5408000000001,823.5125500000003,831.8745433274714,53.865999999999985,92.50999999999999,61.98994387766667,-1.5383192171460678,-11.267968624384775,744.9884903562406,902.0366096437599,160203669.0
2016-07-15,880.899,901.386,879.5,893.931,87839375,862.3956000000001,826.1354000000001,843.1575354497494,49.043000000000006,101.20000000000005,65.0669739091632,3.7075710644878654,-8.272860686610246,741.7962472006914,910.4745527993089,248043044.0
2016-07-19,902.785,904.335,883.227,897.82,64663225,877.3912,827.8118000000001,853.0961653679767,24.211000000000013,101.98700000000008,65.74137304024373,8.08558115905032,-5.001172317478133,739.0617195372351,916.561880462765,312706269.0
2016-07-20,890.985,897.82,889.273,896.423,49020046,887.6982,828.8830000000002,860.9737716647081,19.715000000000032,96.548,65.25403388708617,11.31206107747903,-1.7385256384867005,737.2640462633996,920.5019537366007,263686223.0
2016-07-21,908.063,913.335,903.86,911.942,68333401,895.3648000000001,830.9630500000002,870.2407222711247,18.010999999999967,125.88499999999999,68.08442958352127,14.949000488470347,1.598979586904709,733.6678888665226,928.2582111334777,332019624.0
2016-07-22,895.643,910.556,895.643,906.2,51581503,901.2632000000001,831.7470500000002,876.7787727672837,8.379999999999995,118.74300000000005,65.94399406236754,17.170044180973832,4.713192505718534,732.2044856717591,931.2896143282412,280438121.0
2016-07-25,906.2,915.667,903.564,907.445,50257615,903.9660000000001,836.4504000000001,882.3544504459594,11.022000000000048,122.78800000000001,66.19217159833569,18.81382434825173,7.5333188742251735,731.8038694931759,941.0969305068243,330695736.0
2016-07-26,898.438,899.675,884.626,884.626,77173505,901.3272000000001,840.70355,882.7674594557849,-27.31600000000003,61.78399999999999,57.86836622471896,18.06696465767743,9.640048030915626,735.4567922232603,945.9503077767396,253522231.0
2016-07-27,891.916,918.928,890.06,910.556,78305423,904.1538000000002,847.61945,887.8199213729149,4.3559999999999945,65.668,63.487254193516534,19.34441686981802,11.580921798696105,743.140371374106,952.098528625894,331827654.0
2016-07-28,902.633,913.027,901.539,909.453,54613251,903.6560000000002,853.36255,891.7532083960213,2.0079999999999245,35.84399999999994,63.10173936971715,20.036831943491507,13.272103827655185,748.5297233523474,958.1953766476527,277214403.0
2016-07-29,893.931,917.379,886.022,914.893,104868289,905.3946000000002,859.8973,895.9604432331082,30.267000000000053,38.18500000000006,64.25461533025076,20.784942534620427,14.774671569048234,756.9406617301364,962.8539382698635,382082692.0
2016-08-01,887.108,904.964,885.402,899.836,60636798,903.8728000000002,865.25255,896.6650899179975,-10.720000000000027,5.904999999999973,58.78026642418244,19.93307541901345,15.806352339041277,765.9279430642723,964.5771569357278,321445894.0
2016-08-02,890.985,896.26,883.998,884.157,59977748,903.7790000000001,869.6687500000002,894.3908917510888,-25.295999999999935,-13.663000000000011,53.65406820183096,17.787754169816935,16.20263270519641,775.626440162745,963.7110598372553,261468146.0
2016-08-03,858.391,876.544,856.836,867.551,76823698,895.1780000000001,873.0525500000001,889.510911432709,-47.341999999999985,-28.871999999999957,48.79990698006247,14.57954231737176,15.878014627631481,784.8982517020129,961.2068482979873,184644448.0
2016-08-04,867.856,887.108,865.838,883.384,69357724,889.9642000000001,877.9189000000002,888.3969275358527,-16.451999999999998,-28.557999999999993,53.15188343165886,13.16286873135482,15.33498544837615,799.8123703749865,956.025429625014,254002172.0
2016-08-05,898.904,919.548,892.692,909.605,111235205,888.9066000000003,884.0263000000001,892.2529407111522,25.44799999999998,3.4049999999999727,59.31895032480681,13.994638785257735,15.066916115752468,817.452021350312,950.6005786496883,365237377.0
2016-08-08,925.136,942.064,921.258,939.872,86262943,896.9138000000003,891.7870500000001,900.9109514909427,72.32099999999991,32.42699999999991,65.03985326769946,16.90128895529267,15.43379068366051,839.2863455256287,944.2877544743716,451500320.0
2016-08-09,936.0,938.948,931.651,933.061,55421116,906.6946,897.2980000000001,906.7564148562259,49.67700000000002,48.43500000000006,62.8963504307181,18.442644057681377,16.035561358464683,852.7293150058779,941.8666849941224,396079204.0
2016-08-10,928.555,930.407,919.692,922.657,54977241,917.7158000000002,901.18645,909.6474303369121,13.052000000000021,12.100999999999999,59.6617923583898,18.610137154337167,16.550476517639183,862.7180996380666,939.6548003619334,341101963.0
2016-08-12,931.347,936.0,928.859,931.347,53225571,927.3084,904.0733500000001,913.5928066392917,-8.524999999999977,21.894000000000005,61.44528420767302,19.222501977593538,17.084881609630052,865.6530275307372,942.4936724692631,394327534.0
2016-08-15,931.347,932.435,923.58,923.58,35612355,930.1034000000001,906.41695,915.4086599776022,-9.480999999999995,8.687000000000012,58.93708849250592,18.863625392081076,17.44063036612026,869.3299303017985,943.5039696982016,358715179.0
2016-08-16,926.997,931.651,910.556,911.942,64262514,924.5174000000001,907.3175,914.7783581634926,-10.715000000000032,12.105999999999995,55.29485865699701,17.439096723749913,17.44032363764619,870.6345602767868,944.0004397232132,294452665.0
2016-08-17,915.512,936.458,913.027,932.267,60121409,924.3586000000001,909.0398499999999,917.9581112246757,0.9200000000000728,48.110000000000014,59.9498579117227,17.745644385612877,17.50138778723953,871.0239916177813,947.0557083822184,354574074.0
2016-08-18,921.258,928.555,915.822,915.822,64449990,922.9916000000001,910.0097999999999,917.5697273656438,-7.758000000000038,48.27099999999996,54.96306752723294,16.47173563766387,17.2954573573244,872.3612236930942,947.6583763069057,290124084.0
2016-08-19,926.529,940.655,924.519,935.385,76948681,923.7992,911.1819499999999,920.8088678446175,23.442999999999984,52.000999999999976,59.30027945114915,16.84652809283,17.20567150442552,871.8576269230134,950.5062730769864,367072765.0
